año;municipio;barrios de Barcelona;concepto;estado;valor
2019;Barcelona;l'Antiga Esquerra de l'Eixample;Índice socioeconómico territorial;;118,5
2019;Barcelona;la Nova Esquerra de l'Eixample;Índice socioeconómico territorial;;116,8
2019;Barcelona;Sant Antoni;Índice socioeconómico territorial;;111,4
2019;Barcelona;el Poble Sec;Índice socioeconómico territorial;;95,1
2019;Barcelona;la Marina del Prat Vermell;Índice socioeconómico territorial;;72,6
2019;Barcelona;la Marina de Port;Índice socioeconómico territorial;;95,3
2019;Barcelona;la Font de la Guatlla;Índice socioeconómico territorial;;107,6
2019;Barcelona;Hostafrancs;Índice socioeconómico territorial;;104,2
2019;Barcelona;la Bordeta;Índice socioeconómico territorial;;106,9
2019;Barcelona;Sants-Badal;Índice socioeconómico territorial;;103,7
2019;Barcelona;Sants;Índice socioeconómico territorial;;107,5
2019;Barcelona;les Corts;Índice socioeconómico territorial;;122,4
2019;Barcelona;la Maternitat i Sant Ramon;Índice socioeconómico territorial;;118,4
2019;Barcelona;Pedralbes;Índice socioeconómico territorial;;129,7
2019;Barcelona;Vallvidrera, el Tibidabo i les Planes;Índice socioeconómico territorial;;120,8
2019;Barcelona;Sarrià;Índice socioeconómico territorial;;130,1
2019;Barcelona;les Tres Torres;Índice socioeconómico territorial;;136,5
2019;Barcelona;Sant Gervasi-la Bonanova;Índice socioeconómico territorial;;130,5
2019;Barcelona;Sant Gervasi-Galvany;Índice socioeconómico territorial;;131,4
2019;Barcelona;el Putxet i el Farró;Índice socioeconómico territorial;;126,9
2019;Barcelona;Vallcarca i els Penitents;Índice socioeconómico territorial;;119,3
2019;Barcelona;el Coll;Índice socioeconómico territorial;;110,6
2019;Barcelona;la Salut;Índice socioeconómico territorial;;118,8
2019;Barcelona;la Vila de Gràcia;Índice socioeconómico territorial;;117,7
2019;Barcelona;el Camp d'en Grassot i Gràcia Nova;Índice socioeconómico territorial;;118,6
2019;Barcelona;el Baix Guinardó;Índice socioeconómico territorial;;113,3
2019;Barcelona;Can Baró;Índice socioeconómico territorial;;107,6
2019;Barcelona;el Guinardó;Índice socioeconómico territorial;;110,6
2019;Barcelona;la Font d'en Fargues;Índice socioeconómico territorial;;119,5
2019;Barcelona;el Carmel;Índice socioeconómico territorial;;93,4
2019;Barcelona;la Teixonera;Índice socioeconómico territorial;;100,0
2019;Barcelona;Sant Genís dels Agudells;Índice socioeconómico territorial;;100,1
2019;Barcelona;Montbau;Índice socioeconómico territorial;;107,9
2019;Barcelona;la Vall d'Hebron;Índice socioeconómico territorial;;115,6
2019;Barcelona;la Clota;Índice socioeconómico territorial;;104,3
2019;Barcelona;Horta;Índice socioeconómico territorial;;105,1
